,adr
0,102.19753954563897
1,60.598775066188395
2,72.03072629448546
3,72.03072629448546
4,72.03072629448546
5,72.03072629448546
6,72.03072629448546
7,72.03072629448546
8,72.03072629448546
9,60.598775066188395
10,72.03072629448546
11,72.03072629448546
12,72.03072629448546
13,72.03072629448546
14,72.03072629448546
15,72.03072629448546
16,72.03072629448546
17,72.03072629448546
18,72.03072629448546
19,72.03072629448546
20,60.598775066188395
21,60.598775066188395
22,60.598775066188395
23,72.74850495937615
24,72.74850495937615
25,72.74850495937615
26,72.74850495937615
27,72.74850495937615
28,72.74850495937615
29,72.74850495937615
30,67.49927204742083
31,69.02201777419742
32,69.02201777419742
33,60.598775066188395
34,60.598775066188395
35,60.598775066188395
36,60.598775066188395
37,60.598775066188395
38,60.598775066188395
39,60.598775066188395
40,60.598775066188395
41,60.598775066188395
42,72.03072629448546
43,72.74850495937615
44,72.03072629448546
45,72.03072629448546
46,72.03072629448546
47,72.03072629448546
48,72.03072629448546
49,71.88934623669674
50,66.27681264415762
51,76.6930945826125
52,93.49877321748852
53,76.84856244683694
54,72.03072629448546
55,78.88899774460793
56,57.66881345928403
57,46.40606602178988
58,68.84845948201496
59,73.10426241689797
60,36.13419442031912
61,75.84015895661551
62,65.21092759913117
63,81.09860390603436
64,98.35102438097263
65,72.03072629448546
66,72.03072629448546
67,72.03072629448546
68,72.03072629448546
69,72.03072629448546
70,72.03072629448546
71,72.03072629448546
72,72.03072629448546
73,72.03072629448546
74,72.03072629448546
75,72.03072629448546
76,72.03072629448546
77,72.03072629448546
78,72.03072629448546
79,72.03072629448546
80,72.03072629448546
81,72.03072629448546
82,72.03072629448546
83,72.03072629448546
84,72.03072629448546
85,72.03072629448546
86,72.03072629448546
87,72.03072629448546
88,62.038148003143796
89,99.00174490765177
90,66.16949028638129
91,94.66506738122807
92,128.63128024516132
93,112.08934187946444
94,98.3107099179285
95,79.30606396044587
96,104.11989815134245
97,81.52913295276994
98,62.40429231303288
99,101.95747799644568
100,48.440891834159125
101,103.59728481859267
102,86.03105018354825
103,86.03105018354825
104,119.55583771732911
105,114.03927703009052
106,68.1151812925252
107,139.9648190609258
108,116.21973758737585
109,86.37272863550385
110,77.57395503551298
111,86.37272863550385
112,57.21433129363854
113,97.36005802787739
114,82.15029003551814
115,86.04696365135835
116,94.66506738122807
117,110.25898099611516
118,159.93924010623314
119,86.70235017800613
120,89.6682994665835
121,73.01822255719064
122,120.5032830044965
123,71.80852282856456
124,57.48586072836544
125,120.47629663061193
126,127.76072580884914
127,142.5490093380573
128,85.11103305766699
129,143.57353782368745
130,93.18799475565528
131,122.40587298223215
132,114.54213728675029
133,126.88774766606224
134,95.26397498991707
135,61.23715327488121
136,49.07717526134068
137,77.57066931687321
138,72.89717388366455
139,36.81499937246966
140,36.81499937246966
141,38.15792822456189
142,38.15792822456189
143,38.15792822456189
144,38.15792822456189
145,38.15792822456189
146,36.81499937246966
147,36.81499937246966
148,36.81499937246966
149,36.81499937246966
150,36.81499937246966
151,36.81499937246966
152,36.81499937246966
153,36.81499937246966
154,36.81499937246966
155,36.81499937246966
156,38.15792822456189
157,38.15792822456189
158,38.15792822456189
159,38.15792822456189
160,36.81499937246966
161,36.81499937246966
162,36.81499937246966
163,36.81499937246966
164,65.00882978611139
165,36.81499937246966
166,38.15792822456189
167,36.81499937246966
168,38.15792822456189
169,38.15792822456189
170,38.15792822456189
171,38.15792822456189
172,38.15792822456189
173,38.15792822456189
